# Team 0: Captain Cooked, Team 1: Distraction Is All You Need
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
6,Pre-Flop,0,-31,31,CALL,0,0,0,"['7h', '6h', '9h', '3h', '6s']","['As', '2d', '5d', '3s', '8s']",[],[],[],1,1
6,Pre-Flop,1,-31,31,CHECK,0,0,0,"['7h', '6h', '9h', '3h', '6s']","['As', '2d', '5d', '3s', '8s']",[],[],[],2,2
6,Flop,1,-31,31,DISCARD,0,0,1,"['7h', '6h', '9h', '3h', '6s']","['As', '2d', '5d', '3s', '8s']","['6d', '2s', 'Ad']",[],[],2,2
6,Flop,0,-31,31,DISCARD,0,1,4,"['7h', '6h', '9h', '3h', '6s']","['As', '2d']","['6d', '2s', 'Ad']",[],"['5d', '3s', '8s']",2,2
6,Flop,1,-31,31,RAISE,2,0,0,"['6h', '6s']","['As', '2d']","['6d', '2s', 'Ad']","['7h', '9h', '3h']","['5d', '3s', '8s']",2,2
6,Flop,0,-31,31,CALL,0,0,0,"['6h', '6s']","['As', '2d']","['6d', '2s', 'Ad']","['7h', '9h', '3h']","['5d', '3s', '8s']",2,2
6,Turn,1,-31,31,RAISE,4,0,0,"['6h', '6s']","['As', '2d']","['6d', '2s', 'Ad', '4h']","['7h', '9h', '3h']","['5d', '3s', '8s']",4,4
6,Turn,0,-31,31,CALL,0,0,0,"['6h', '6s']","['As', '2d']","['6d', '2s', 'Ad', '4h']","['7h', '9h', '3h']","['5d', '3s', '8s']",4,4
6,River,1,-31,31,CHECK,0,0,0,"['6h', '6s']","['As', '2d']","['6d', '2s', 'Ad', '4h', '3d']","['7h', '9h', '3h']","['5d', '3s', '8s']",8,8
6,River,0,-31,31,RAISE,31,0,0,"['6h', '6s']","['As', '2d']","['6d', '2s', 'Ad', '4h', '3d']","['7h', '9h', '3h']","['5d', '3s', '8s']",8,8
6,River,1,-31,31,CALL,0,0,0,"['6h', '6s']","['As', '2d']","['6d', '2s', 'Ad', '4h', '3d']","['7h', '9h', '3h']","['5d', '3s', '8s']",8,8
7,Pre-Flop,1,8,-8,CALL,0,0,0,"['2s', 'As', '3s', '9h', '8h']","['3d', '9s', '6d', '8s', '6h']",[],[],[],1,1
7,Pre-Flop,0,8,-8,CHECK,0,0,0,"['2s', 'As', '3s', '9h', '8h']","['3d', '9s', '6d', '8s', '6h']",[],[],[],2,2
