# Team 0: Uncountable Sean Jacksons, Team 1: if my_turn{fold()}
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
7,Pre-Flop,0,-76,76,CHECK,0,0,0,"['Ad', '6d', '8h', '2d', '9h']","['3h', '7s', '2s', '6s', '3s']",[],[],[],2,2
7,Flop,0,-76,76,DISCARD,0,0,4,"['Ad', '6d', '8h', '2d', '9h']","['3h', '7s', '2s', '6s', '3s']","['9s', '7h', '7d']",[],[],2,2
7,Flop,1,-76,76,DISCARD,0,1,3,"['Ad', '9h']","['3h', '7s', '2s', '6s', '3s']","['9s', '7h', '7d']","['6d', '8h', '2d']",[],2,2
7,Flop,0,-76,76,RAISE,2,0,0,"['Ad', '9h']","['7s', '6s']","['9s', '7h', '7d']","['6d', '8h', '2d']","['3h', '2s', '3s']",2,2
7,Flop,1,-76,76,RAISE,20,0,0,"['Ad', '9h']","['7s', '6s']","['9s', '7h', '7d']","['6d', '8h', '2d']","['3h', '2s', '3s']",2,2
7,Flop,0,-76,76,RAISE,22,0,0,"['Ad', '9h']","['7s', '6s']","['9s', '7h', '7d']","['6d', '8h', '2d']","['3h', '2s', '3s']",4,4
7,Flop,1,-76,76,RAISE,45,0,0,"['Ad', '9h']","['7s', '6s']","['9s', '7h', '7d']","['6d', '8h', '2d']","['3h', '2s', '3s']",24,24
7,Flop,0,-76,76,RAISE,9,0,0,"['Ad', '9h']","['7s', '6s']","['9s', '7h', '7d']","['6d', '8h', '2d']","['3h', '2s', '3s']",46,46
7,Flop,1,-76,76,CALL,0,0,0,"['Ad', '9h']","['7s', '6s']","['9s', '7h', '7d']","['6d', '8h', '2d']","['3h', '2s', '3s']",91,91
7,Turn,0,-76,76,CHECK,0,0,0,"['Ad', '9h']","['7s', '6s']","['9s', '7h', '7d', '8s']","['6d', '8h', '2d']","['3h', '2s', '3s']",100,100
7,Turn,1,-76,76,CHECK,0,0,0,"['Ad', '9h']","['7s', '6s']","['9s', '7h', '7d', '8s']","['6d', '8h', '2d']","['3h', '2s', '3s']",100,100
7,River,0,-76,76,CHECK,0,0,0,"['Ad', '9h']","['7s', '6s']","['9s', '7h', '7d', '8s', 'Ah']","['6d', '8h', '2d']","['3h', '2s', '3s']",100,100
7,River,1,-76,76,CHECK,0,0,0,"['Ad', '9h']","['7s', '6s']","['9s', '7h', '7d', '8s', 'Ah']","['6d', '8h', '2d']","['3h', '2s', '3s']",100,100
8,Pre-Flop,0,-176,176,CALL,0,0,0,"['3d', '5s', '6h', '2s', '4h']","['Ah', '9s', '4s', '5h', '8s']",[],[],[],1,1
8,Pre-Flop,1,-176,176,RAISE,11,0,0,"['3d', '5s', '6h', '2s', '4h']","['Ah', '9s', '4s', '5h', '8s']",[],[],[],2,2
8,Pre-Flop,0,-176,176,FOLD,0,0,0,"['3d', '5s', '6h', '2s', '4h']","['Ah', '9s', '4s', '5h', '8s']",[],[],[],2,2
9,Pre-Flop,1,-178,178,RAISE,10,0,0,"['2h', '7d', '5d', '3d', '4s']","['7s', '6h', 'Ah', '8d', '3h']",[],[],[],1,1
9,Pre-Flop,0,-178,178,CALL,0,0,0,"['2h', '7d', '5d', '3d', '4s']","['7s', '6h', 'Ah', '8d', '3h']",[],[],[],2,2
9,Flop,0,-178,178,DISCARD,0,2,4,"['2h', '7d', '5d', '3d', '4s']","['7s', '6h', 'Ah', '8d', '3h']","['4h', '9s', 'As']",[],[],12,12
9,Flop,1,-178,178,DISCARD,0,0,2,"['5d', '4s']","['7s', '6h', 'Ah', '8d', '3h']","['4h', '9s', 'As']","['2h', '7d', '3d']",[],12,12
9,Flop,0,-178,178,CHECK,0,0,0,"['5d', '4s']","['7s', 'Ah']","['4h', '9s', 'As']","['2h', '7d', '3d']","['6h', '8d', '3h']",12,12
9,Flop,1,-178,178,RAISE,10,0,0,"['5d', '4s']","['7s', 'Ah']","['4h', '9s', 'As']","['2h', '7d', '3d']","['6h', '8d', '3h']",12,12
9,Flop,0,-178,178,RAISE,12,0,0,"['5d', '4s']","['7s', 'Ah']","['4h', '9s', 'As']","['2h', '7d', '3d']","['6h', '8d', '3h']",12,12
9,Flop,1,-178,178,RAISE,22,0,0,"['5d', '4s']","['7s', 'Ah']","['4h', '9s', 'As']","['2h', '7d', '3d']","['6h', '8d', '3h']",22,22
9,Flop,0,-178,178,RAISE,44,0,0,"['5d', '4s']","['7s', 'Ah']","['4h', '9s', 'As']","['2h', '7d', '3d']","['6h', '8d', '3h']",34,34
9,Flop,1,-178,178,CALL,0,0,0,"['5d', '4s']","['7s', 'Ah']","['4h', '9s', 'As']","['2h', '7d', '3d']","['6h', '8d', '3h']",56,56
9,Turn,0,-178,178,CHECK,0,0,0,"['5d', '4s']","['7s', 'Ah']","['4h', '9s', 'As', '4d']","['2h', '7d', '3d']","['6h', '8d', '3h']",100,100
9,Turn,1,-178,178,CHECK,0,0,0,"['5d', '4s']","['7s', 'Ah']","['4h', '9s', 'As', '4d']","['2h', '7d', '3d']","['6h', '8d', '3h']",100,100
