# Team 0: PlayerAgent, Team 1: ProbabilityAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
4,Flop,1,-15,15,RAISE,2,0,0,"['8s', 'As']","['3h', '3s']","['3d', '9s', '2s']","['2d', '7s', '4s']","['6d', '2h', '6h']",2,2
4,Flop,0,-15,15,CALL,0,0,0,"['8s', 'As']","['3h', '3s']","['3d', '9s', '2s']","['2d', '7s', '4s']","['6d', '2h', '6h']",2,2
4,Turn,1,-15,15,RAISE,5,0,0,"['8s', 'As']","['3h', '3s']","['3d', '9s', '2s', '7h']","['2d', '7s', '4s']","['6d', '2h', '6h']",4,4
4,Turn,0,-15,15,CALL,0,0,0,"['8s', 'As']","['3h', '3s']","['3d', '9s', '2s', '7h']","['2d', '7s', '4s']","['6d', '2h', '6h']",4,4
4,River,1,-15,15,RAISE,11,0,0,"['8s', 'As']","['3h', '3s']","['3d', '9s', '2s', '7h', '4d']","['2d', '7s', '4s']","['6d', '2h', '6h']",9,9
4,River,0,-15,15,FOLD,0,0,0,"['8s', 'As']","['3h', '3s']","['3d', '9s', '2s', '7h', '4d']","['2d', '7s', '4s']","['6d', '2h', '6h']",9,9
5,Pre-Flop,1,-24,24,CALL,0,0,0,"['7d', '9s', 'Ah', '3s', '5d']","['4d', '5s', '6h', '9d', '7h']",[],[],[],1,1
5,Pre-Flop,0,-24,24,CHECK,0,0,0,"['7d', '9s', 'Ah', '3s', '5d']","['4d', '5s', '6h', '9d', '7h']",[],[],[],2,2
5,Flop,0,-24,24,DISCARD,0,1,3,"['7d', '9s', 'Ah', '3s', '5d']","['4d', '5s', '6h', '9d', '7h']","['9h', 'As', '8s']",[],[],2,2
5,Flop,1,-24,24,DISCARD,0,2,4,"['9s', '3s']","['4d', '5s', '6h', '9d', '7h']","['9h', 'As', '8s']","['7d', 'Ah', '5d']",[],2,2
5,Flop,0,-24,24,CHECK,0,0,0,"['9s', '3s']","['6h', '7h']","['9h', 'As', '8s']","['7d', 'Ah', '5d']","['4d', '5s', '9d']",2,2
5,Flop,1,-24,24,CHECK,0,0,0,"['9s', '3s']","['6h', '7h']","['9h', 'As', '8s']","['7d', 'Ah', '5d']","['4d', '5s', '9d']",2,2
5,Turn,0,-24,24,CHECK,0,0,0,"['9s', '3s']","['6h', '7h']","['9h', 'As', '8s', '3d']","['7d', 'Ah', '5d']","['4d', '5s', '9d']",2,2
5,Turn,1,-24,24,RAISE,2,0,0,"['9s', '3s']","['6h', '7h']","['9h', 'As', '8s', '3d']","['7d', 'Ah', '5d']","['4d', '5s', '9d']",2,2
